loan_status_1,purpose,loan_amnt,inq_last_6mths,revol_util,pub_rec_bankruptcies,ln_annual_inc
0,credit_card,5000,1,83.7,0,10.08580911
1,car,2500,5,9.4,0,10.30895266
0,small_business,2400,2,98.5,0,9.413444468
0,other,10000,1,21,0,10.8036489
0,other,3000,0,53.9,0,11.28978191
0,wedding,5000,3,28.3,0,10.49127422
0,debt_consolidation,7000,1,85.6,0,10.75798798
0,car,3000,2,87.5,0,10.77895629
1,small_business,5600,2,32.6,0,10.59663473
1,other,5375,0,36.5,0,9.61580548
0,debt_consolidation,6500,2,20.6,0,11.1844214
0,debt_consolidation,12000,0,67.1,0,11.22524339
1,debt_consolidation,9000,1,91.7,0,10.30895266
0,credit_card,3000,2,43.1,0,9.61580548
1,other,10000,2,55.5,0,11.51292546
0,debt_consolidation,1000,1,81.5,0,10.23995979
0,home_improvement,10000,2,70.2,0,10.6454249
0,major_purchase,3600,0,16,0,11.60823564
0,medical,6000,0,37.73,0,11.33857208
0,debt_consolidation,9200,0,23.1,0,11.2565507
0,debt_consolidation,20250,3,85.6,0,10.67752324
1,debt_consolidation,21000,0,90.3,0,11.56171563
0,credit_card,10000,0,82.4,0,10.81977828
0,debt_consolidation,10000,0,91.8,0,10.81977828
1,major_purchase,6000,1,29.7,0,11.23848862
0,credit_card,15000,0,93.9,0,11.42954386
1,other,5000,0,59.5,0,10.81985828
0,debt_consolidation,4000,0,37.7,0,11.57119437
0,credit_card,8500,0,59.1,0,10.1266311
0,debt_consolidation,4375,0,86.9,0,9.747301469
0,debt_consolidation,31825,0,27.4,0,11.22524339
0,debt_consolidation,10000,1,63.6,0,10.2791805
0,debt_consolidation,5000,0,29.3,0,10.08764076
0,credit_card,7000,1,60.5,0,10.4341158
0,credit_card,12400,2,57.2,0,10.62132735
0,moving,10800,0,13.3,0,10.92586654
0,debt_consolidation,15000,0,50.4,0,10.71441777
0,debt_consolidation,6000,1,66.5,0,10.51466517
